hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_s2p_smoke_2026-06-10/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
FAIL,Clarity_example_acf20e4a,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_s2p_smoke_2026-06-10/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,rx_active_rmse;rx_active_maxabs
PASS,Clarity_example_acf20e4a,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_s2p_smoke_2026-06-10/channels/Clarity_example_acf20e4a/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,thresholds passed
