case,flow,window,t_start_ns,t_end_ns,n10b_min,n10b_max,n10b_mean,ku_min,ku_max,ku_mean,kd_min,kd_max,kd_mean
normal_prbs_channel,ngspice_pybis,full,0.0,75.0,-0.10262781739595704,1.7773683261054278,0.12571657707201628,-0.018252795833334057,1.013715026949364,0.06929732191411019,-0.07245825152809295,1.0041959370742464,0.7828395599538998
normal_prbs_channel,ngspice_pybis,zoom,50.0,70.0,-0.10262781739595704,1.7773683261054278,0.06881392584298199,-0.017635836226509216,1.012818173446949,0.04313563870872757,-0.07245825152809295,1.0041724950055912,0.8527996230646895
normal_prbs_channel,xyce_pybis,full,0.0,75.0,-0.0069724526,1.54112716,0.599046226532182,-0.0228373305,1.01185921,0.39200137708652116,-0.0720553278,1.00611444,0.5436504458390534
normal_prbs_channel,xyce_pybis,zoom,50.0,70.0,-0.000546606041,1.54112716,1.2375688274102876,-0.0145963242,1.01185921,0.7563867429443792,-0.0720553278,1.00439608,0.10913990331914038
stressed_edge50_prbs80_channel,ngspice_pybis,full,0.0,160.0,-0.11608451057508896,1.511931290208875,0.5882103263788234,-0.023838269793369782,1.013978458445192,0.3960758817559448,-0.07290665774227172,1.00670179198957,0.37003825458025047
stressed_edge50_prbs80_channel,ngspice_pybis,zoom,55.5,58.8,-0.010747408882062397,1.5066120713937752,0.4156428121567354,-0.023593329604643512,0.9999999999999997,0.13891665019556212,-0.00212649860037345,1.0066044651059325,0.5278237096937209
stressed_edge50_prbs80_channel,xyce_pybis,full,0.0,160.0,-0.131160026,1.52884764,0.5457497545437212,-0.0234562751,1.01253732,0.3660341636232808,-0.0724074651,1.00615857,0.3976613350851573
stressed_edge50_prbs80_channel,xyce_pybis,zoom,55.5,58.8,-0.0207241679,1.52241486,0.4074561366254078,-0.0234562751,0.67704347,0.13651510111180637,-0.00163522465,1.00615857,0.5072106275196918
