a,b,max_abs_v,rmse_v,mean_abs_v
ngspice_refspice,xyce_refspice,0.026968384259000687,0.008247556858893062,0.006582476446078417
ngspice_pybis_current,xyce_pybis_edge50,1.5396980075627917,0.8588992376861974,0.620061516671282
ngspice_pybis_pre_kukd,xyce_pybis_edge50,0.2884577865079352,0.029038699937289567,0.015876014138299473
ngspice_pybis_pre_kukd,ngspice_refspice,1.5111486873255218,0.37450400484491647,0.2062660477809258
xyce_pybis_edge50,xyce_refspice,1.515380983299233,0.37408097475053453,0.20959465724877216
ngspice_pybis_current,ngspice_pybis_pre_kukd,1.5697079339075048,0.8704998107752162,0.6287533484571571
