case,return_code,raw,log,points,v(p1)_max_v,v(p3)_max_v
audit_amp1p5_edge5_r50,0,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge5_r50.log,7087,0.7555018844623486,0.6785391502046143
audit_amp1p5_edge50_r50,0,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge50_r50.log,7060,0.7554909074891144,0.678539115263757
audit_amp1p5_edge500_r50,0,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_s11_proto_2026-06-09_strength025/Ch8_30_5F3N_t/ngspice/audit_amp1p5_edge500_r50.log,7026,0.7553801895923795,0.6785306314331327
