case_id,flow,pulse_width_ns,rising_edge_ns,reverse_edge_ns,active_end_ns,hspice_kd_min,hspice_kd_min_time_ns,hspice_kd_final,hspice_recovery_10_ns,hspice_recovery_50_ns,hspice_recovery_90_ns,hspice_t_hold_50_ns,hspice_main_slope_tau_10_90_ns,gdn_at_reverse,gdn_min_reverse_to_active_end,gdn_target_at_reverse,gdn_target_min_reverse_to_active_end
short_pulse_500ps_high,ngspice_two_state_identity,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.001568719921719895,1.0,0.0
short_pulse_500ps_high,ngspice_two_state_pwl,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.001568719921719895,1.0,0.0
short_pulse_500ps_high,ngspice_two_state_directional,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.001568714402952596,1.0,0.0
short_pulse_500ps_high,ngspice_two_state_directional_residual,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.001568748537265213,1.0,0.0
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_mean,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.01393157802696502,1.0,0.0
short_pulse_500ps_high,ngspice_two_state_directional_residual_recover_fast,0.5,5.0005,5.5005,8.501000000000001,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.8514216955967386,0.1737478867249962,0.9999999999999952,0.1236430356264622,1.0,0.0
short_pulse_1ns_high,ngspice_two_state_identity,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.0001908080571697532,0.9999999999999992,0.0
short_pulse_1ns_high,ngspice_two_state_pwl,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.0001908080571697532,0.9999999999999992,0.0
short_pulse_1ns_high,ngspice_two_state_directional,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.0001908128796586447,0.9999999999999992,0.0
short_pulse_1ns_high,ngspice_two_state_directional_residual,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.0002004759071335512,0.9999999999999992,0.0
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_mean,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.001780992525250433,0.9999999999999992,0.0
short_pulse_1ns_high,ngspice_two_state_directional_residual_recover_fast,1.0,5.0005,6.0005,9.001000000000001,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,2.057074747893478,0.18874754558586407,0.9999999999999954,0.0158015412338646,0.9999999999999992,0.0
short_pulse_2ns_high,ngspice_two_state_identity,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773550149930968,2.82153063757469e-06,0.0,0.0
short_pulse_2ns_high,ngspice_two_state_pwl,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773550149930968,2.82153063757469e-06,0.0,0.0
short_pulse_2ns_high,ngspice_two_state_directional,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773550149930968,2.821939231249525e-06,0.0,0.0
short_pulse_2ns_high,ngspice_two_state_directional_residual,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773549954705553,2.823661010849749e-06,0.0,0.0
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_mean,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773549954705553,2.508465841095199e-05,0.0,0.0
short_pulse_2ns_high,ngspice_two_state_directional_residual_recover_fast,2.0,5.0005,7.0005,10.001000000000001,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.3292520925579963,0.18565086001175926,0.09773549954705553,0.0002229675576931644,0.0,0.0
