case,flow,simulator,model,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,28,11->01,146.1004275041791,2423.173755594166,434.97424411442086
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,29,10->11,148.1004452022463,3596.1514042904864,1013.0531475004291
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,fall,30,11->01,152.10042721737358,2404.917558277739,414.5358132918147
ui2_len30cm_loss5_coarse10,ngspice_refspice,ngspice,io_buf.sp,rise,31,10->11,154.10044514148208,3593.6001960949866,996.1905122749837
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,0,11->01,26.1,2967.713363338983,297.9540421499698
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,1,10->11,28.1,202.45286999381273,-1490.5382280115102
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,2,11->00,38.1,2969.823848981387,301.6406795868249
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,3,00->11,42.1,2186.893992647414,452.73345061188803
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,4,11->01,50.10000000000001,2970.3737085044304,287.2520837337485
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,5,10->10,52.1,198.83363984599873,-1494.7364211466042
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,6,01->01,54.1,943.5844533387813,284.1721161807791
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,7,10->11,56.10000000000001,187.07624863579946,-1578.809886626125
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,8,11->00,62.10000000000001,2982.6054080442163,296.1018696808883
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,9,00->11,70.10000000000001,2179.7718903319483,429.8322401063622
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,fall,10,11->01,74.10000000000001,2979.422333177391,314.7384173374236
ui2_len30cm_loss5_coarse10,ngspice_pybis,ngspice,pybis,rise,11,10->11,76.1,205.9871726423888,-1521.5237076788837
