node,rmse_v,maxabs_v,active_rmse_v,active_maxabs_v,hspice_min_v,hspice_max_v,ngspice_min_v,ngspice_max_v
p1,0.7524180774443072,2.0577732880862483,0.6996377466341122,2.0577732880862483,-0.01420849,3.726114,-0.01326252957334357,2.903080616441415
p2,0.00404922836487157,0.013026183864543697,0.0033774447167633243,0.00917546182789182,-0.04595301,0.05836427,-0.04442421335672498,0.05252366040348543
p3,0.0026746818796436894,0.0071475095727862115,0.0025248674772405614,0.006291270827147368,-0.01668467,0.01703896,-0.01811170498728177,0.01346181022670541
p4,0.011571025133927642,0.017353255191968595,0.011401641972768637,0.017353255191968595,-2.780858e-05,0.01853221,-0.004393232333362522,0.003990433710855863
in_dig,3.071075093731488e-05,0.00031999999963469583,3.203066364372941e-05,0.00031999999963469583,0.0,3.3,0.0,3.3
