case_id,role,pulse_width_ns,rising_edge_ns,reverse_edge_ns,active_end_ns,command_age_ns,kd_min,kd_min_time_ns,kd_final,recovery_10_ns,recovery_50_ns,recovery_90_ns,t_hold_10_ns,t_hold_50_ns,t_hold_90_ns,main_slope_tau_10_90_ns
short_pulse_500ps_high,train,0.5,5.0005,5.5005,8.501000000000001,0.5,-0.02253873,5.872482,0.9988258999999999,7.170785461146861,7.351921695596738,7.552548588119252,1.670285461146861,1.8514216955967386,2.052048588119252,0.1737478867249962
short_pulse_1ns_high,train,1.0,5.0005,6.0005,9.001000000000001,1.0,-0.06318683,6.386647,0.9973462,7.848965031670129,8.057574747893478,8.263685777743278,1.8484650316701297,2.057074747893478,2.2631857777432787,0.18874754558586407
short_pulse_2ns_high,train,2.0,5.0005,7.0005,10.001000000000001,2.0,-0.07198926,7.538691,0.9847056000000001,9.124965745503188,9.329752092557996,9.532882377924631,2.124465745503188,2.3292520925579963,2.5323823779246313,0.18565086001175926
short_pulse_1p5ns_high,heldout,1.5,5.0005,6.5005,9.501000000000001,1.5,-0.07054041,6.872482,0.9963244,8.426636393992327,8.634307439177807,8.840106494277672,1.9261363939923273,2.133807439177807,2.339606494277672,0.18817835215852652
