case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch1_10_5F3N_t/hspice_native/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.0600799,0.8521897,0.0,0.7661634194224497,-0.02001358,0.7098836,-0.01288513023995866,0.6888560615713547,3.926569e-78,0.8102454,0.4051227,5.870189e-79,0.7035065,0.35175325,0.016684066255621147,0.0782511957307167,0.02843067236041436,0.0782511957307167,0.012424510502373334,0.04880260916716457,0.020101942921459625,0.04880260916716457,False,1.0035500294242106,3.430061977019476,9.00365993629853,11.420165821518301,2426.511947595265,2416.505885219772,1.002701633915178,3.4258815824655957,9.002407594803076,11.422611929625427,2423.1799485504175,2420.20433482235,-0.8483955090325956,-4.180394553880085,-1.2523414954532797,2.446108107125866,-3.3319990448476347,3.6984496025779663,FAIL,rx_active_rmse,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch1_10_5F3N_t/hspice_native/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.04011904,0.8334046,0.0,0.7661561854532847,-0.01980581,0.707023,-0.01287975492282172,0.6888497941703062,3.926569e-78,0.80460405,0.402302025,5.870189e-79,0.70346395,0.351731975,0.01626672393576179,0.06737659117926043,0.027581816946120906,0.06737659117926043,0.012379048206030906,0.04381066133398481,0.019979086260515286,0.04381066133398481,False,1.0259599600901,3.457763995806041,9.02559105176296,11.448838498859907,2431.804035715941,2423.247447096947,1.0268759745613174,3.451629699168839,9.024304477509057,11.448335661767619,2424.7537246075217,2424.031184258562,0.9160144712174745,-6.134296637202219,-1.2865742539034386,-0.5028370922879333,-7.050311108419464,0.7837371616151358,PASS,thresholds passed,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch1_10_5F3N_t/hspice_native/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.02002081,0.8175,0.0,0.76608256683632,-0.01977695,0.7033961,-0.01237188641594561,0.6883268065696608,3.926569e-78,0.7955756,0.3977878,5.870189e-79,0.7031591,0.35157955,0.014511201397710874,0.05234346611427032,0.024744129922154072,0.05234346611427032,0.011850544187174773,0.0291402772539262,0.018924377684549028,0.0291402772539262,False,1.2723968941961135,3.7095488144604305,9.267394133446018,11.700399838960998,2437.151920264317,2433.0057055149796,1.2671762626253362,3.7082995904300464,9.24737148909614,11.687625037539988,2441.12332780471,2440.2535484438463,-5.220631570777234,-1.2492240303840774,-20.02264434987744,-12.77480142100984,3.971407540392647,7.247842928866703,PASS,thresholds passed,results/sparam_cisco_s11_strength_sweep_2026-06-09/Ch1_10_5F3N_t/strength_0p750/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
