time_ns,hspice_pad_v,ngspice_pybis_pad_v_interp,hspice_ku,ngspice_pybis_ku_interp,hspice_kd,ngspice_pybis_kd_interp
0.0,1.370752e-09,1.522407514265419e-06,0.0,0.0,1.0,1.0
0.001,1.370752e-09,1.5224075142654175e-06,0.0,0.0,1.0,1.0
0.002,1.370752e-09,1.5224075142654163e-06,0.0,0.0,1.0,1.0
0.0052,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
0.01544,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
0.048208,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
0.1530656,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
0.4886099,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
1.562352,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
2.8123519999999997,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
4.062352,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
5.0,1.370752e-09,1.522407514265417e-06,0.0,0.0,1.0,1.0
5.000051,1.370752e-09,1.5224075142654165e-06,0.0,0.0,1.0,1.0
5.000216,1.370752e-09,1.522407514265416e-06,0.0,0.0,1.0,1.0
5.000342,1.370752e-09,1.522407514265416e-06,0.0,0.0,1.0,1.0
5.000545,1.572202e-06,1.522407514265416e-06,0.0002589043,0.0,0.9997547,1.0
5.001,7.67556e-06,1.522407514265416e-06,0.0006440249,0.0,0.9993831,1.0
5.001035,8.373504e-06,1.522407514265416e-06,0.0006736487,0.0,0.9993545,1.0
5.0010449999999995,8.575442e-06,1.522407514265416e-06,0.0006821155,0.0,0.9993464,1.0
5.001077,9.234224e-06,1.522407514265416e-06,0.0007092092,0.0,0.9993202,1.0
5.0011790000000005,1.151096e-05,1.522407514265416e-06,0.000795909,0.0,0.9992366,1.0
5.001507,2.05079e-05,1.522407514265416e-06,0.001073349,0.0,0.9989689,1.0
5.002556,6.633234e-05,1.522407514265416e-06,0.001961155,0.0,0.9981123,1.0
5.005911,0.0003726411,1.522407514265416e-06,0.004802136,0.0,0.9953712,1.0
5.016649,0.001365655,0.0005814558596806768,0.004185237,0.003665925731417608,0.9963915,0.9978410120177756
5.026893,0.001575985,0.0009897418627736938,0.002036787,0.002151850685167378,1.000572,1.000828351268623
5.039579,0.001343746,0.001058062448555802,0.001585309,0.0017965730961256882,1.000122,1.00174693988063
5.055367,0.001078507,0.0009927085426828673,0.001311186,0.0014317926619169228,0.999148,1.0006820838242134
5.074487,0.0008323548,0.0008405311468251852,0.0009981774,0.0010685144637434811,0.9996753,1.0008711992625268
5.10782,0.0005630949,0.0005943498754140625,0.0007763174,0.000841687617717856,0.9996742,1.003005173361199
5.141153,0.0004107177,0.00048283605168146076,0.0005324155,0.0006962313809291536,0.9994714,1.0023635507183954
5.174487,0.0002843911,0.00039939462895346886,0.0003667746,0.0005782714005874342,0.9993337,1.001843216932765
5.20782,0.0002067645,0.0003228168317046146,0.0002916104,0.0004653787361029621,0.9992712,1.001345235606293
5.241153000000001,0.0001741747,0.0002477842857830518,0.0002738204,0.0003199224993141733,0.9992565,1.0007036129634892
5.274487000000001,0.0001451719,0.00017105875107531528,0.0001968353,0.0002019625189725402,0.9991925,1.000183279177858
5.3078199999999995,-0.0001474984,2.0366534083666132e-05,-0.0007848002,-0.0003320138527479804,0.9994464,1.001069605295015
5.341152999999999,-0.0005805089,-0.0006363079068639029,-0.001292281,-0.001311884278514235,1.000851,1.003843260562286
5.374487,-0.0008598026,-0.0008289578693917942,-0.001677444,-0.0015804447025585782,0.9995753,1.002497080238741
5.40782,-0.001118017,-0.0010027573685441342,-0.002150209,-0.0018374683283479483,0.9991818,1.001208729027072
5.441153,-0.001253458,-0.001165594631395623,-0.002097503,-0.0020989762414700386,1.002254,1.0027561738052748
5.474487,-0.001332751,-0.001314627285087844,-0.002399813,-0.0023949332850860977,0.9999454,1.0023198399939979
5.50782,-0.001500296,-0.0014991664147271473,-0.002682884,-0.002687111912425908,0.9997096,1.001585172474266
5.5411529999999996,-0.00167822,-0.001689639343225354,-0.002998748,-0.003063568644996465,0.9994465,1.0006385921698744
5.5744869999999995,-0.00190244,-0.0018878973006707135,-0.003450238,-0.0033857861141038323,1.000307,1.001476966240104
5.60782,-0.002189115,-0.0021450518613594792,-0.003979435,-0.003852216929659475,0.9996009,1.002209792711467
5.641153,-0.002492349,-0.002430020118633375,-0.00447049,-0.0044234802516664945,0.9996016,1.0017494783762821
5.674487,-0.002801399,-0.0028491324825938814,-0.005017707,-0.005358074359231264,0.9997071,1.0022969511670938
5.70782,-0.00342432,-0.003441459799663388,-0.006662972,-0.006340917578242435,1.001508,1.002239302270348
5.741153,-0.004283901,-0.004149075415961145,-0.007972786,-0.007942483755977904,0.9997481,1.0017027772728924
5.774487,-0.00538524,-0.0052594153784478945,-0.01042978,-0.010116724098731197,1.000841,1.001488671667185
5.80782,-0.006744592,-0.006501653613493563,-0.01263714,-0.012043282893162205,1.003373,1.003178377193607
5.841153,-0.009024441,-0.00884491267249237,-0.01836958,-0.017970752253560568,1.001717,1.0020728156749805
5.874487,-0.01204003,-0.011573502335378861,-0.02295883,-0.02221839669661043,1.000784,1.002364713182273
5.90782,-0.01252652,-0.012444319415838146,-0.01928055,-0.019857355422080673,1.005403,1.006158578486266
5.941153,-0.01076144,-0.010951212443919769,-0.01635722,-0.0164566125791103,1.00162,1.0023702668677001
5.971165,-0.009135878,-0.009367193062623194,-0.0134552,-0.013605029322309961,1.001426,1.002480825138168
6.003259,-0.007311626,-0.007584517039938484,-0.01038685,-0.010777250662501141,1.001163,1.0026099676126687
6.036593,-0.004647461,-0.005176486864062903,-0.004410806,-0.005524793318559488,1.004256,1.0043719395444308
6.069926000000001,-0.001055112,-0.001692626405442669,0.00195172,5.954498547424869e-05,1.002902,1.003691042528163
6.1032589999999995,0.00273084,0.0021182344555850815,0.008314607,0.007672927067276753,1.001993,1.0027985385188447
6.1365929999999995,0.006873091,0.0062267189512361515,0.01582234,0.014368470122933437,1.001876,1.002558599151626
6.169926,0.01129993,0.010500149449101815,0.02308562,0.0208655548277913,1.002131,1.003234846492896
6.203259,0.01569735,0.014920987448119222,0.03035523,0.02953077356315453,0.9997181,1.0009754668384807
6.236593,0.02010349,0.01931160703176799,0.0376386,0.03608426030879827,0.9992601,1.000174018449463
6.269926,0.02450121,0.023620849877259757,0.04487157,0.042564611520537775,0.9980251,0.9990426240693097
6.303259,0.02892055,0.0280628324491885,0.05210252,0.05117953222257002,0.9936934,0.994737541569686
6.336593,0.03336822,0.03250012826064842,0.05931047,0.05766663331360578,0.9901758,0.9914040037584508
6.3699259999999995,0.03713414,0.03636989584581747,0.06371184,0.06207313387407301,0.9793019,0.9823718491158582
6.403259,0.04020821,0.03949766402054347,0.06834335,0.06760158864965224,0.9709229,0.9726345715756354
6.436593,0.04280484,0.04237884672741116,0.07083317,0.07022683982860273,0.9539226,0.9573732139231667
6.468967999999999,0.04310421,0.042301090449294226,0.06596754,0.0666529472887044,0.9176167,0.9345908483854277
6.500662,0.04586895,0.04544465761651529,0.0770287,0.07537041976831602,0.877121,0.8823751546232954
6.525567,0.05130228,0.05017837258891467,0.08133101,0.07983774116204019,0.8090751,0.8184519449603722
6.545967,0.05575678,0.05446782134215726,0.08553861,0.08396833985131949,0.7706941,0.7806886019203795
6.562596,0.05944263,0.05799853984808343,0.08603832,0.08579813130360739,0.6980212,0.7050308382185313
6.5757769999999995,0.06270133,0.06126415558328988,0.08983298,0.08840806522323569,0.667385,0.6807117324477342
6.587052,0.06575038,0.0641830717980853,0.09075983,0.08948148628790878,0.6268421,0.6470275382228851
6.598509,0.06883145,0.06715023321526264,0.09125995,0.08985852932402141,0.5833796,0.6062712734825031
6.613859000000001,0.07301243,0.07126365273761567,0.09324232,0.09245621968493895,0.5425718,0.552201023379539
6.627507,0.07679393,0.07498733090250231,0.09419003,0.09315025531651085,0.5018111,0.5219199423680899
6.6416699999999995,0.08072944,0.07881809485088714,0.09513663,0.09478526632505012,0.4634227,0.4628146236432461
6.661178,0.08661392,0.08458806594218335,0.09823584,0.09758154024567421,0.4139025,0.4192103799980558
6.691248,0.09637354,0.09416805873090306,0.1008028,0.10016003600815757,0.3457673,0.3494058020619757
6.721698,0.1078872,0.10495561367342009,0.1075918,0.10716165781623718,0.2830412,0.28419180998084387
6.755032,0.1223774,0.11950345404423256,0.1143465,0.11320445870414132,0.2400476,0.24856004779608804
6.781419,0.1339902,0.13094158697963915,0.1180101,0.11874938317118236,0.1995688,0.2102770962451626
6.804151,0.1440601,0.14097870657507838,0.1233068,0.12221958724304224,0.1842525,0.18940712730302148
6.825105000000001,0.1550368,0.15106796315022417,0.1322381,0.13171829622856268,0.1565165,0.16332524435307144
6.842874,0.1674938,0.1638029625106266,0.1450764,0.1438440468265584,0.1426057,0.14873598447051867
6.861435,0.1821931,0.1777856190399647,0.1524772,0.15158436341643594,0.1292115,0.1305013320962185
6.882971,0.199131,0.19440712759097098,0.160711,0.15964542990388972,0.1129854,0.11902157068313732
6.908796000000001,0.2193994,0.21428939196154984,0.1698521,0.1667789810011067,0.09441944,0.10341194259219695
6.917129,0.2259268,0.22077841391892036,0.1722396,0.16933468115671585,0.08672971,0.09291375699364866
6.923796,0.2311459,0.2259193282676142,0.1743535,0.17260074721616211,0.08174407,0.0855956829799282
6.9291290000000005,0.2353179,0.22996649564007862,0.1756508,0.17260074721616228,0.07637484,0.08559568297992781
6.933332,0.2387012,0.23362928380991846,0.1782207,0.17936161967303924,0.07201254,0.07588122711440387
6.934986,0.2402019,0.2351538671237119,0.1815961,0.1796991421035541,0.07119133,0.07584777991764835
6.937616,0.2427516,0.23748136548502427,0.186966,0.1796991421035533,0.06988487,0.07584777991764843
6.944174,0.2514024,0.2462050613291681,0.2133933,0.2162364454159413,0.07658326,0.08399849948258042
6.951128,0.2632091,0.25762048134403986,0.2270944,0.22399945018474804,0.07724202,0.07930059975876819
6.957681,0.2749604,0.26894337710015814,0.23379,0.22571495070254627,0.07329725,0.07841593337298922
6.9694720000000006,0.2961651,0.28887113417145155,0.2448312,0.23523962739391732,0.06556621,0.07175143182360827
6.981269,0.3173398,0.30907897107838406,0.2551643,0.25261566729401125,0.05767795,0.05903146310917997
6.989603,0.3322493,0.3235027004189875,0.2621296,0.2530961190626664,0.05162727,0.058593330185152684
6.996269,0.3443874,0.3355354923161577,0.2710958,0.26374235258776413,0.04973164,0.05339728295388673
7.013311000000001,0.375657,0.366577460855875,0.2911007,0.2860710253469069,0.05533192,0.057126716947524664
7.026743,0.39982,0.38997946481413004,0.3027156,0.2953928971234354,0.05010126,0.05306275785566217
7.040953,0.4251799,0.41443219490674177,0.3159408,0.31186601027988686,0.04449313,0.04633084259332658
