case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/hspice_native/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.04029646,0.8172644,0.0,0.75,-0.01620488,0.6601206,-0.0006220011637891903,0.6550984721970682,1.268745e-79,0.76872385,0.384361925,2.765332e-80,0.65796885,0.328984425,0.01829893162413919,0.05216265724809625,0.02390983365385083,0.05216265724809625,0.010543839825598943,0.04017646312696049,0.012469944000523116,0.04017646312696049,False,1.0033106207955722,8.496925440116279,9.003582731594486,16.51720157967663,7493.614819320706,7513.618848082143,1.0025624128333332,8.514048035975518,9.002437587166668,16.512172740071886,7511.485623142185,7509.73515290522,-0.7482079622389559,17.12259585923981,-1.1451444278183232,-5.028839604744206,17.870803821479058,-3.883695176922629,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/hspice_native/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.01781232,0.77475,-3.102858760040819e-17,0.75,-0.01629146,0.6601139,-0.0006219755496227924,0.6550984452766222,1.268745e-79,0.7685812,0.3842906,2.765332e-80,0.6581028,0.3290514,0.01803844908489168,0.05281455332758202,0.023538139784646493,0.05281455332758202,0.010241805206891419,0.02118828147404761,0.012032222416594513,0.02118828147404761,False,1.0248629125733153,8.535855730451418,9.025737108673482,16.530127267541868,7510.992817878102,7504.390158868387,1.0256193733333328,8.53747481326667,9.024380626666668,16.535572338749457,7511.855439933337,7511.191712082791,0.7564607600174522,1.6190828152513603,-1.3564820068143746,5.445071207589081,0.8626220552350787,6.801553214404521,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/hspice_native/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.0108668,0.7691371,-4.950364865787623e-17,0.75,-0.01869038,0.6600749,-0.000619645546789091,0.6550959671734066,1.268745e-79,0.7687277,0.38436385,2.765332e-80,0.6580204,0.3290102,0.018241706944312316,0.04770598970416767,0.023912561510609748,0.04770598970416767,0.010635860961178358,0.020708389968547958,0.012612407826574424,0.020708389968547958,False,1.261812867780864,8.803966522888622,9.262669970826275,16.792601270187564,7542.153655107759,7529.931299361289,1.2562425666666663,8.814409044083462,9.243757433333334,16.81149249687679,7558.166477416797,7567.735063543458,-5.570301114197651,10.442521194839571,-18.912537492941084,18.89122668922738,16.0128223090378,37.80376418216838,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch7_28_5F3N_t/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
