path,complex_rms,complex_max,mag_db_rms,mag_db_max,mag_db_max_above_m40,phase_rms_deg,phase_max_deg,original_mag_min_db,original_mag_max_db
all,0.004432379256813275,0.019085625498681865,0.27529670804096834,1.4107860949597821,,,,,
S11,0.0011572446525278859,0.002396144080197884,0.4009245180366539,1.4107860949597821,1.4107860949597821,2.313823460231073,13.355369806629227,-48.71785760990846,-21.811269623720328
S21,0.0061799158416212824,0.019085625498681865,0.05335918771974049,0.17219179302939425,0.17219179302939425,0.11087218097812418,0.2683464786925924,-0.4797511899368061,-0.02039039622382636
S12,0.0061500752054222275,0.018969753360369948,0.05307320467225725,0.17099659534385203,0.17099659534385203,0.11120640352317313,0.27052476191096275,-0.4797511899368061,-0.02039039622382636
S22,0.0011090281679195953,0.002205273842860291,0.3697954471076672,1.2879938130583852,1.2879938130583852,4.123218515922212,25.269574942648955,-54.92496352599552,-21.813491160128354
