case_id,flow,flow_label,status,pad_peak_v,pad_min_v,pad_peak_time_ns,ku_peak,ku_min,kd_min,kd_max,pad_vs_hspice_native_rmse_v,pad_vs_hspice_native_max_v,ngspice_deck,ngspice_raw,pad_active_rmse_v,pad_active_max_v,ku_active_rmse,ku_active_max,kd_active_rmse,kd_active_max,ku_jump_at_retrigger,kd_jump_at_retrigger,coeff_range_ok,ngspice_row_count,ngspice_min_timestep_ns,hnx_min,hnx_max,gup_min,gup_max,gdn_min,gdn_max,guptarget_min,guptarget_max,gdntarget_min,gdntarget_max,kugate_min,kugate_max,kdgate_min,kdgate_max,kuleg_min,kuleg_max,kdleg_min,kdleg_max,kugate_on_min,kugate_on_max,kugate_off_min,kugate_off_max,kdgate_on_min,kdgate_on_max,kdgate_off_min,kdgate_off_max,gdnrate_min,gdnrate_max,kdres_min,kdres_max,kdres_table_min,kdres_table_max,pdrecoveredge_min,pdrecoveredge_max,pdnormalfall_min,pdnormalfall_max,pdonp_norm_min,pdonp_norm_max,pdonp_recover_min,pdonp_recover_max,hshort_high_recovery_min,hshort_high_recovery_max,h2stateactive_min,h2stateactive_max,koverlap_min,koverlap_max,vmstart_latch_min,vmstart_latch_max,vmelapsed_min,vmelapsed_max,vmarg_min,vmarg_max,vmarg_max_negative_step,start_disagree_min,start_disagree_max,match_ambiguous_min,match_ambiguous_max,match_ambiguous_active_count
edge_1ps_base_50r_2pf,hspice_native_ibis,HSPICE native IBIS,REFERENCE,1.55356,-0.01111205,15.331760000000001,1.012943,-0.02295883,-0.07177395,1.005403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_1ps_base_50r_2pf,hspice_transistor_sp,HSPICE io_buf.sp transistor,PAD_REFERENCE,1.6681188752556237,-0.013117919692527708,15.06011,,,,,0.5254983749079596,1.3794850229527433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_legacy,ngspice legacy pybis,GOOD,1.5568559365875232,-0.011048494844779662,15.357130000000002,1.011993411977149,-0.02221839669661043,-0.07176545831892066,1.006158578486266,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_legacy\edge_1ps_base_50r_2pf_ngspice_legacy.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_legacy\edge_1ps_base_50r_2pf_ngspice_legacy.raw,0.005289179270369432,0.016780177326762624,0.0043424415275439545,0.022940438186631718,0.005607643494728418,0.022891673482503094,0.0060293059591601805,0.0015599621388583526,True,37020,3.4999999805052084e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_directional,ngspice two-state directional maps,CHECK,1.541326861623664,0.000692000572503395,15.37799,0.9956560025685414,-0.006303101290106446,0.0010957485918750383,0.998610796050256,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional\edge_1ps_base_50r_2pf_ngspice_two_state_directional.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional\edge_1ps_base_50r_2pf_ngspice_two_state_directional.raw,0.025406565555273552,0.07151778033501943,0.019180279172012125,0.05015482984940266,0.027873862807518007,0.0836506009422201,1.4104342160869976e-06,7.806255641895632e-18,True,53686,8.946151801580982e-07,0.0,10.000843951688514,0.0,0.9991784269876656,2.3728160087019186e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,-0.004949007794663466,0.9956565029102692,0.001095748591880517,0.9986107960552499,-0.02221839669661043,1.011993411977149,-0.07176483598106101,1.006158578486266,0.001940593158962918,0.9956565029102692,-0.004949007794663466,0.9922402565582201,0.001095749340697075,0.9986107960552499,0.001095748591880517,0.9986107960552442,-3.8693719384741074,3.451398201700598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06918755089944344,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual,ngspice two-state directional + Kd residual,WARN,1.55812823943247,0.001172425397236805,15.43253,0.9956560026383077,-0.0062692255546278365,-0.07187749051242845,1.0051417826700186,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual.raw,0.018739016745456742,0.04518216196334896,0.01886102167353344,0.05015482984940266,0.011103205833157602,0.038518780274072184,1.4104312509033434e-06,0.001117503745922672,True,58374,3.4999999805052084e-06,0.0,10.00131317535785,0.0,0.9991784274336148,2.37281600870187e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,-0.004980105282977245,0.9956565029797645,-0.07176545806686928,1.006158578486267,-0.02221839669661043,1.0124691935392738,-0.07176545831892,1.006158578486266,0.001940593158962918,0.9956565029797645,-0.004980105282977245,0.9922402584820517,0.001095749340697075,0.9986107960552499,0.001095748591880517,0.9986107960552442,-3.8693719384741074,3.4894069314128835,-0.0728612066587498,0.04120858545418562,-0.0728612066585111,0.04109696763518983,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06647987778106003,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual_recover_fast,ngspice two-state residual + fast Kd recover,WARN,1.5581282899094668,0.001172425397236805,15.43253,0.9956560026383053,-0.0062692255545741425,-0.07187749051242592,1.0051417826700186,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual_recover_fast\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual_recover_fast.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual_recover_fast\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual_recover_fast.raw,0.018736931774155193,0.04517774499801597,0.018861021673449177,0.05015482984940266,0.01356321778248509,0.05350611049390919,1.4104312509033434e-06,0.0011175037459284353,True,58388,2.7926344507989143e-06,0.0,10.00131317535785,0.0,0.9991784274335901,2.3728160139642886e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,-0.004980105283025421,0.9956565029797606,-0.07176545806686929,1.006158578486267,-0.02221839669661043,1.0124691935394194,-0.07176545831892002,1.006158578486266,0.001940593158962918,0.9956565029797606,-0.004980105283025421,0.9922402584819451,0.001095749340697077,0.9986107960552499,0.001095748591880517,0.9986107960552442,-3.8693719384741074,3.4909087359338353,-0.07286120665874982,0.041223587789692366,-0.07286120665851112,0.04109696763459936,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06647987778106003,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_directional_residual_recover_mean,ngspice two-state residual + mean Kd recover,WARN,1.5581282899094668,0.001172425397236805,15.43253,0.9956560026383053,-0.0062692255545741425,-0.07187749051242592,1.0051417826700186,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual_recover_mean\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual_recover_mean.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_directional_residual_recover_mean\edge_1ps_base_50r_2pf_ngspice_two_state_directional_residual_recover_mean.raw,0.018738298141359366,0.04518151298095458,0.018861021678413133,0.05015482984940266,0.012710184721219738,0.04794214965719934,1.4104312509033434e-06,0.0011175037459284353,True,58390,3.4999999805052084e-06,0.0,10.00131317535785,0.0,0.9991784274335901,2.3728160087018116e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,-0.004980105283025421,0.9956565029797606,-0.07176545806686929,1.006158578486267,-0.02221839669661043,1.0124691935394194,-0.07176545831892002,1.006158578486266,0.001940593158962918,0.9956565029797606,-0.004980105283025421,0.9922402584819451,0.001095749340697075,0.9986107960552499,0.001095748591880517,0.9986107960552442,-3.8693719384741074,3.499949493129414,-0.07286120665874982,0.041224186929588555,-0.07286120665851112,0.041097543369002766,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06647987778106003,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_hybrid,ngspice two-state PWL hybrid,CHECK,1.5556838431995736,-0.010888514866247341,15.357130000000002,1.010015420071131,-0.021188037720655806,-0.019922456202264942,1.0050776760888787,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_hybrid\edge_1ps_base_50r_2pf_ngspice_two_state_hybrid.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_hybrid\edge_1ps_base_50r_2pf_ngspice_two_state_hybrid.raw,0.060266537126192114,0.26005307414627277,0.038713139542657565,0.18512713517348786,0.023494044043030078,0.07621590231195206,0.0022619685325626637,0.00116175280119193,True,81919,5.600935111260696e-07,0.0,10.009524294635725,0.0,0.9976023071435748,0.005521720199268039,1.000000000000001,0.0,0.9984227174340772,0.0,1.0,0.001940593158962918,0.9953019735524279,0.004441952311437413,0.9986107960552464,-0.02221839669661053,1.0125719125579313,-0.07177692466207447,1.0061585784862652,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06710969324962518,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_identity,ngspice two-state identity full,CHECK,1.5405284416256435,0.001175893942943845,15.43253,0.9949648279932977,0.001940593158990295,0.001095748576286489,0.9986107960546062,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_identity\edge_1ps_base_50r_2pf_ngspice_two_state_identity.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_identity\edge_1ps_base_50r_2pf_ngspice_two_state_identity.raw,0.09048480953082158,0.23240413571783167,0.07110255967480358,0.20524208789753917,0.0468212229067707,0.17278692080802494,8.99499527784453e-06,8.239936510889834e-18,True,53675,8.946151801580982e-07,0.0,10.000843951688514,0.0,0.9991784269876656,2.3728160087019186e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,0.001940593159,0.9949680188785366,0.001095748576291967,0.9986107960595992,-0.02221839669661043,1.011993411977149,-0.07176483598106101,1.006158578486266,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.593025272722994e-05,0.11360254804138212,,,,,,,,,,,,
edge_1ps_base_50r_2pf,ngspice_two_state_pwl,ngspice two-state PWL full,CHECK,1.5412819668724325,0.0011758939429248145,15.37799,0.9956185379237993,0.0019405931589532126,0.001095748483380057,0.9986107960502543,,,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_pwl\edge_1ps_base_50r_2pf_ngspice_two_state_pwl.sp,results\io_buf_two_state_gate_model_2026-06-30\cases\edge_1ps_base_50r_2pf\ngspice_two_state_pwl\edge_1ps_base_50r_2pf_ngspice_two_state_pwl.raw,0.06663459412899615,0.25210265134774124,0.04422457955130307,0.18423314207451047,0.028548491436711877,0.08188085181772087,1.8215501569329717e-06,5.854691731421724e-18,True,53675,8.946151801580982e-07,0.0,10.000843951688514,0.0,0.9991784269876656,2.3728160087019186e-10,0.9999999999999992,0.0,1.0,0.0,0.9999999999999999,0.001940593158962918,0.9956191841045967,0.001095748483385536,0.9986107960552464,-0.02221839669661043,1.011993411977149,-0.07176483598106101,1.006158578486266,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,3.3610203660066525e-05,0.05852812167129824,,,,,,,,,,,,
