a,b,max_abs_v,rmse_v,mean_abs_v
ngspice_refspice,xyce_refspice,0.026968384259000687,0.008247556858893062,0.006582476446078417
ngspice_pybis_edge50_corrected,xyce_pybis_edge50,0.11631167327385902,0.01166660459076383,0.006882616813815546
ngspice_pybis_edge50_corrected,ngspice_refspice,1.5082546544702975,0.3724171219040298,0.20810443626982264
xyce_pybis_edge50,xyce_refspice,1.515380983299233,0.37408097475053453,0.20959465724877216
