model,case,r_load_ohm,v_fixture_v,low_before_v,high_hold_v,low_after_v,rise_swing_v,fall_swing_v,rise_10_ns,rise_50_ns,rise_90_ns,rise_10_90_ns,fall_90_ns,fall_50_ns,fall_10_ns,fall_90_10_ns,bench,raw,plot
I3C_TX_0p125mA_tx,1160ohm_to_0v,1160.0,0.0,2.2801389683749805e-06,0.6044804055427058,2.2493909829938456e-05,0.6044781254037374,0.6044579116328759,11.034740418242029,11.999474097417622,14.619457416093159,3.58471699785113,130.88521503563103,131.8726533190607,134.5202506924863,3.6350356568552513,benches\I3C_TX_0p125mA_tx_1160ohm_to_0v_rsf.sp,raw\I3C_TX_0p125mA_tx_1160ohm_to_0v_rsf.raw,plots\I3C_TX_0p125mA_tx_1160ohm_to_0v_ngspice.png
I3C_TX_0p125mA_tx,1160ohm_to_1p2v,1160.0,1.2,0.7122809938702037,1.304865616566923,0.7123131574605883,0.5925846226967193,0.5925524591063347,10.985542566824769,11.959976279504854,14.562495183040342,3.576952616215573,130.9167575426937,131.918566829086,134.5472478144761,3.6304902717824064,benches\I3C_TX_0p125mA_tx_1160ohm_to_1p2v_rsf.sp,raw\I3C_TX_0p125mA_tx_1160ohm_to_1p2v_rsf.raw,plots\I3C_TX_0p125mA_tx_1160ohm_to_1p2v_ngspice.png
