case,hspice_tr0,ngspice_raw,hspice_stop_ns,ngspice_stop_ns,hspice_tx_min_v,hspice_tx_max_v,ngspice_tx_min_v,ngspice_tx_max_v,hspice_rx_min_v,hspice_rx_max_v,ngspice_rx_min_v,ngspice_rx_max_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,tx_rmse_v,tx_maxabs_v,tx_active_rmse_v,tx_active_maxabs_v,rx_rmse_v,rx_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,ngspice_input_backdrive_flag,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,tx_rise50_delta_ps,rx_rise50_delta_ps,tx_fall50_delta_ps,rx_fall50_delta_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,case_class,case_reason,plot
audit_amp1p5_edge5_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/hspice_native/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/ngspice/audit_amp1p5_edge5_r50.raw,35.0,35.0,-0.05192086,0.8527362,-1.424159763404105e-17,0.75,3.045137e-79,0.6807925,0.0,0.6757395704740623,1.659154e-79,0.799038,0.399519,2.516496e-78,0.6636701,0.33183505,0.01990379662170902,0.0789397786098952,0.029438445675346033,0.0789397786098952,0.005844006132042149,0.06595924154525616,0.008781453266260224,0.06595924154525616,False,1.003409837999313,13.604018525086413,9.003924878736864,21.591652417100196,12600.6086870871,12587.727538363331,1.00266346,13.579604828109717,9.002336540000002,21.587957260497525,12576.941368109718,12585.620720497525,-0.746377999313097,-24.41369697669593,-1.5883387368624824,-3.695156602670835,-23.66731897738282,-2.1068178658060788,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/comparison/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png
audit_amp1p5_edge50_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/hspice_native/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/ngspice/audit_amp1p5_edge50_r50.raw,35.0,35.0,-0.04516573,0.83406,-4.033155137487598e-17,0.75,3.271721e-79,0.6806956,0.0,0.6757375379745378,1.659154e-79,0.7948767,0.39743835,2.516496e-78,0.6644145,0.33220725,0.020002767584768356,0.06949035490475874,0.029373971928510694,0.06949035490475874,0.004981259404928932,0.02288700035400243,0.006998247097623151,0.02288700035400243,False,1.0258758619716166,13.615911014690711,9.025481907019113,21.622035957676616,12590.035152719096,12596.5540506575,1.02649589,13.60355188115205,9.023504110000001,21.61119738389181,12577.05599115205,12587.69327389181,0.6200280283834569,-12.359133538661027,-1.9777970191121597,-10.838573784806016,-12.979161567045594,-8.860776765690389,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/comparison/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png
audit_amp1p5_edge500_r50,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/hspice_native/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/ngspice/audit_amp1p5_edge500_r50.raw,35.0,35.0,-0.004339479,0.8046847,-4.150844772656385e-17,0.75,3.143e-79,0.6803104,0.0,0.6757165531992819,1.659154e-79,0.79054895,0.395274475,2.516496e-78,0.6662839,0.33314195,0.018990864160417915,0.06252842173745103,0.027611775710686223,0.06252842173745103,0.004272325060922962,0.0266158787457244,0.005430893565807015,0.0266158787457244,False,1.2687963555402135,13.866477981448453,9.267849268095551,21.883039455262818,12597.681625908239,12615.190187167267,1.2635163166666663,13.881736495185251,9.236483683333335,21.890643483171495,12618.220178518584,12654.15979983816,-5.2800388735472215,15.258513736798207,-31.365584762216514,7.604027908676869,20.538552610345505,38.969612670893184,PASS,thresholds passed,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch9_33_5F3N_t/trim_sweep/trim_m15ps/comparison/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png
