case,return_code,raw,log,points,v(p1)_max_v,v(p3)_max_v
audit_amp1p5_edge5_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge5_r50.log,7043,0.75,0.6829773769775087
audit_amp1p5_edge50_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge50_r50.log,7027,0.75,0.6829766531941717
audit_amp1p5_edge500_r50,0,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_delay_parallel_batch_2026-06-08/Ch3_17_5F3N_t/ngspice/audit_amp1p5_edge500_r50.log,7020,0.75,0.6829092569468851
