warning_reason,selected_channels,audit_rows,hspice_pass,hspice_warn,hspice_fail,hspice_error
reduced_4p_not_full_matrix,145,84,0,68,3,13
rx_edge_ringing_threshold_ambiguous,24,15,0,0,3,12
rx_low_swing_metric_floor,145,84,0,68,3,13
rx_overshoot_margin,2,3,1,0,2,0
rx_settling_margin,138,63,0,47,3,13
rx_undershoot_margin,2,3,1,0,2,0
threshold_delay_confidence_low,145,84,0,68,3,13
voltage_shape_ok_threshold_delay_low,145,84,0,68,3,13
NO_WARNING,2,6,4,0,2,0
