hspice_audit_class,channel_id,case,overlay_plot,hspice_audit_reason
WARN,Ch10_35_5F3N_f5_3a904f20,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f5_3a904f20/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch10_35_5F3N_f5_3a904f20,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch10_35_5F3N_f5_3a904f20/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f1_8f9c2982,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f1_8f9c2982/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f1_8f9c2982,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f1_8f9c2982/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f1_8f9c2982,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f1_8f9c2982/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f2_47dc69c2,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f2_47dc69c2/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f2_47dc69c2,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f2_47dc69c2/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f2_47dc69c2,audit_amp1p5_edge500_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f2_47dc69c2/plots/audit_amp1p5_edge500_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f4_dfb4f0b9,audit_amp1p5_edge5_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f4_dfb4f0b9/plots/audit_amp1p5_edge5_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
WARN,Ch1_10_5F3N_f4_dfb4f0b9,audit_amp1p5_edge50_r50,results/sparam_rx_trust_v2_2026-06-11/channels/Ch1_10_5F3N_f4_dfb4f0b9/plots/audit_amp1p5_edge50_r50_hspice_vs_ngspice.png,voltage_pass_threshold_delay_confidence_low
