validation_split,independent_class,hspice_pass,hspice_warn,hspice_fail,hspice_error,total,false_pass_rate
all,PASS,0,0,0,0,0,
all,WARN,1,68,5,13,87,
all,FAIL,4,0,2,0,6,
calibration,PASS,0,0,0,0,0,
calibration,WARN,1,50,5,13,69,
calibration,FAIL,4,0,2,0,6,
holdout,PASS,0,0,0,0,0,
holdout,WARN,0,18,0,0,18,
holdout,FAIL,0,0,0,0,0,
