time_ns,hspice_in_dig_v,ngspice_in_dig_v,hspice_p1_v,ngspice_p1_v,hspice_p2_v,ngspice_p2_v,hspice_p3_v,ngspice_p3_v,hspice_p4_v,ngspice_p4_v
0.0,0.0,0.0,1.910435e-09,1.713189546775034e-06,2.066714e-11,2.918338128530239e-09,-1.14408e-25,-1.192076787524936e-09,-5.993793e-13,-9.921483153409258e-11
0.001,0.0,0.0,1.910435e-09,1.7131895467750247e-06,2.066714e-11,2.918338128531529e-09,1.266527e-25,-1.192076787524923e-09,-5.993793e-13,-9.921483153401906e-11
0.002,0.0,0.0,1.910435e-09,1.7131895467750243e-06,2.066714e-11,2.918338128531332e-09,1.318952e-25,-1.1920767875249371e-09,-5.993793e-13,-9.921483153398452e-11
0.0052,0.0,0.0,1.910435e-09,1.7131895467750254e-06,2.066714e-11,2.918338128531374e-09,1.418883e-25,-1.192076787525023e-09,-5.993793e-13,-9.921483153393247e-11
0.01544,0.0,0.0,1.910435e-09,1.713189546775018e-06,2.066714e-11,2.9183381285316645e-09,2.763096e-25,-1.1920767875251116e-09,-5.993793e-13,-9.921483153399074e-11
0.048208,0.0,0.0,1.910435e-09,1.713189546775016e-06,2.066714e-11,2.918338128531774e-09,2.517955e-25,-1.1920767875252911e-09,-5.993793e-13,-9.921483153441207e-11
0.1530656,0.0,0.0,1.910435e-09,1.713189546775016e-06,2.066714e-11,2.918338128531901e-09,-1.202284e-25,-1.1920767875252905e-09,-5.993793e-13,-9.921483153636242e-11
0.4886099,0.0,0.0,1.910435e-09,1.713189546775008e-06,2.066714e-11,2.918338128532667e-09,-6.759789e-26,-1.1920767875290474e-09,-5.993793e-13,-9.921483153576748e-11
1.0,0.0,0.0,1.910435e-09,1.713189546774991e-06,2.066714e-11,2.918338128530667e-09,2.766669e-25,-1.192076787528091e-09,-5.993793e-13,-9.921483153685915e-11
1.0003,0.00198,0.0019800000000002663,1.910435e-09,1.7131895467749915e-06,2.066714e-11,2.918338128530915e-09,2.343507e-25,-1.1920767875280874e-09,-5.993793e-13,-9.921483153692029e-11
1.0012599999999998,0.008316,0.008315999999999003,1.910435e-09,1.7131895467749972e-06,2.066714e-11,2.9183381285313162e-09,3.34687e-25,-1.1920767875280854e-09,-5.993793e-13,-9.92148315368573e-11
1.004332,0.0285912,0.02859120000000097,1.910435e-09,1.7131895467749974e-06,2.066714e-11,2.918338128532035e-09,4.55114e-25,-1.1920767875281323e-09,-5.993793e-13,-9.921483153666889e-11
1.014162,0.09347184,0.09346920000000068,1.910435e-09,1.713189546774994e-06,2.066714e-11,2.9183381285325227e-09,4.422183e-25,-1.1920767875281857e-09,-5.993793e-13,-9.921483153644273e-11
1.04562,0.3010899,0.30109199999999936,1.910435e-09,1.713189546774995e-06,2.066714e-11,2.918338128532688e-09,3.394465e-25,-1.1920767875281683e-09,-5.993793e-13,-9.921483153551106e-11
1.112286,0.7410899,0.7410875999999987,1.910435e-09,1.713189546775002e-06,2.066714e-11,2.918338128533151e-09,1.792267e-25,-1.1920767875279073e-09,-5.993793e-13,-9.921483153405093e-11
1.1193119999999999,0.78746,0.787459199999998,1.910435e-09,1.713189546775002e-06,2.066714e-11,2.918338128533213e-09,1.077587e-25,-1.1920767875278374e-09,-5.993793e-13,-9.921483153395625e-11
1.120312,0.79406,0.7940591999999987,1.910435e-09,1.713189546775002e-06,2.066714e-11,2.918338128533213e-09,1.126767e-25,-1.1920767875278324e-09,-5.993793e-13,-9.921483153391858e-11
1.1213119999999999,0.80066,0.800659199999998,1.910435e-09,1.713189546775002e-06,2.066714e-11,2.918338128533218e-09,1.090977e-25,-1.192076787527825e-09,-5.993793e-13,-9.921483153388668e-11
1.122912,0.81122,0.8112191999999986,4.432949e-05,1.713189546775002e-06,-1.761773e-08,2.9183381285332427e-09,1.42225e-07,-1.192076787527805e-09,2.905441e-07,-9.921483153385602e-11
1.1280320000000001,0.845012,0.8450111999999991,0.0003343247,1.713189546775002e-06,-1.301258e-07,2.918338128533287e-09,9.588069e-07,-1.1920767875277597e-09,2.009742e-06,-9.921483153374728e-11
1.144416,0.9531464,0.9531455999999973,0.0009376798,1.713189546775003e-06,-2.653549e-07,2.9183381285334284e-09,1.132632e-06,-1.1920767875276252e-09,2.934748e-06,-9.921483153349066e-11
