case,h_rx_max_v,n_rx_max_v,rx_rmse_full_v,rx_maxabs_full_v,rx_rmse_active_v,rx_maxabs_active_v,tx_rmse_full_v,rx_threshold_v,h_rx_rise50_ns,n_rx_rise50_ns,h_rx_fall50_ns,n_rx_fall50_ns,ng_minus_h_rise50_ps,ng_minus_h_fall50_ps
audit_amp1p5_edge5_r50,0.6691638,0.5703083951088463,0.11301586746142953,0.3504929441974937,0.14541350201399564,0.3504929441974937,0.7426956031457153,0.32782475,15.085471177427072,15.593236514330064,23.100077790882374,22.859879230218436,507.7653369029921,-240.19856066393677
audit_amp1p5_edge50_r50,0.6690949,0.5703571322880603,0.11262989986299626,0.3425129078256269,0.14495024345480909,0.3425129078256269,0.7418901964748364,0.32830005,15.111686264815745,15.618078079444212,23.122700763915134,22.880548292252836,506.39181462846796,-242.1524716622981
audit_amp1p5_edge500_r50,0.6688653,0.5690533244106628,0.10912441093626032,0.30704105597144354,0.1410212302659388,0.30704105597144354,0.7348213315776824,0.32635035,15.376990002468002,15.844250992039418,23.38847137848423,23.107085685235923,467.260989571417,-281.38569324830684
