case,complete,target_ns,rows,t_end_ns,pad_min,pad_max,n10b_min,n10b_max,nx_min,nx_max
tanh15 PRBS1000,True,1000.0,51992,1000.0,0.0,1.57163479,0.0,1.53908221,0.0,5.96
tanh20 PRBS1000,False,1000.0,416521,110.069772,-0.00259412757,1.57044589,0.0,1.55651432,0.0,5.96
tanh50 PRBS200,True,200.0,431152,200.0,-0.0137416199,1.56942485,-0.0102474318,1.54913063,0.0,5.96
tanh50 PRBS1000 out10p,False,1000.0,20528,205.27,-0.0137250536,1.56911632,-0.0102412649,1.54912542,0.0,5.96
tanh75 PRBS200,False,200.0,428995,105.396227,-0.0137517213,1.56965689,-0.0102270156,1.5490189,0.0,5.96
tanh90 PRBS200,False,200.0,736111,95.31608179999999,-0.0137517015,1.56927633,-0.0102339835,1.54783937,0.0,5.96
tanh10 PRBS200,False,200.0,464212,125.258772,0.0,1.5985623,0.0,1.59639696,0.0,5.96
