case,xyce_case,complete,xyce_t_end_ns,ngspice_n10b_max,xyce_n10b_max,n10b_max_delta,n10b_rmse_v,ngspice_pad_max,xyce_pad_max,pad_max_delta,pad_rmse_v
Repeated 200 ps pulse train,Xyce tanh20 BE/non-LTE,True,40.0,1.568249749875307,1.69099445,0.12274470012469307,0.033660009691240174,1.6265489537421207,1.66734563,0.040796676257879305,0.02857211874181226
Repeated 200 ps pulse train,Xyce direct BE/non-LTE,False,33.935713,1.568249749875307,1.67948257,0.11123282012469304,0.026441317919816795,1.6265489537421207,1.66406352,0.0375145662578793,0.021660339848249322
Deterministic 10110010 bit pattern,Xyce tanh20 BE/non-LTE,True,45.0,1.5404862891377986,1.55785433,0.01736804086220145,0.024366739056959606,1.563659172723653,1.57036746,0.006708287276346869,0.02467291055652393
Deterministic 10110010 bit pattern,Xyce direct BE/non-LTE,False,11.6953177,1.5404862891377986,1.54863575,0.008149460862201474,0.010322188623230817,1.563659172723653,1.56655157,0.0028923972763468253,0.005484138057446128
