candidate,candidate_title,bench,completed,t_end_ns,wall_s,rmse_mv,max_abs_mv,model,deck,output
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_bitpattern_200p,True,45.0,5.95,19.79749562063592,71.89446723486553,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_prbs7_200n,True,200.0,21.93,32.04881155184359,73.37382046048901,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge50_flat4p2.cir.csv
edge50_flat4p2,edge/latch tanh50 + KUR/KDR flat tail 4.2 ns,channel_prbs7_1000n,False,205.27,260.02,32.62550110670452,73.37382046048901,driver_OutputInput_Typical_xyce_relaxed92_edge50_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge50_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge50_flat4p2.cir.csv
edge52_flat4p2,edge/latch tanh52 + KUR/KDR flat tail 4.2 ns,channel_prbs7_200n,False,155.10999999999999,150.01,33.8551621170541,72.98577096678366,driver_OutputInput_Typical_xyce_relaxed92_edge52_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge52_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_200n_edge52_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,spisim_pulse200p,False,14.950000900000001,45.02,23.025385971681413,216.9305692298039,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,spisim_rfr200p,True,26.0,3.42,26.328580790205088,57.338820842870234,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,channel_pulsetrain_200p,True,40.0,5.81,29.726106700039477,141.0234919212796,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_edge15_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,channel_bitpattern_200p,True,45.0,6.22,19.650094941644085,69.7648814497675,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_edge15_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,channel_prbs7_300n,True,300.0,1.44,28.41172042111753,50.83139065905628,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_300n_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_300n_edge15_flat4p2.cir.csv
edge15_flat4p2,edge/latch tanh15 + KUR/KDR flat tail 4.2 ns,channel_prbs7_1000n,True,1000.0,4.78,26.642067921814924,50.83139065906561,driver_OutputInput_Typical_xyce_relaxed92_edge15_tailflat4p2.sub,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge15_flat4p2.cir,xyce_pybis/tb_tailfix_channel_prbs7_1000n_edge15_flat4p2.cir.csv
edge15_sel75_flat4p2,edge/latch tanh15 + selector tanh75 + KUR/KDR flat tail 4.2 ns,spisim_pulse200p,True,20.0,2.84,21.92703876184556,217.06086004914013,driver_OutputInput_Typical_xyce_relaxed92_edge15_sel75_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_sel75_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_sel75_flat4p2.cir.csv
edge15_sel75_flat4p2,edge/latch tanh15 + selector tanh75 + KUR/KDR flat tail 4.2 ns,spisim_rfr200p,False,25.419999999999998,45.01,26.616034433323,54.41184568833091,driver_OutputInput_Typical_xyce_relaxed92_edge15_sel75_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_sel75_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_sel75_flat4p2.cir.csv
edge15_sel50_flat4p2,edge/latch tanh15 + selector tanh50 + KUR/KDR flat tail 4.2 ns,spisim_pulse200p,True,20.0,2.8,22.48178063008129,217.24069606955058,driver_OutputInput_Typical_xyce_relaxed92_edge15_sel50_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_sel50_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_edge15_sel50_flat4p2.cir.csv
edge15_sel50_flat4p2,edge/latch tanh15 + selector tanh50 + KUR/KDR flat tail 4.2 ns,spisim_rfr200p,False,25.0800036,45.02,26.73639603446416,58.14523171967711,driver_OutputInput_Typical_xyce_relaxed92_edge15_sel50_tailflat4p2.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_sel50_flat4p2.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_edge15_sel50_flat4p2.cir.csv
tanh15,existing all-control tanh15,spisim_pulse200p,True,20.0,2.91,50.44483435655074,250.92857697693705,driver_OutputInput_Typical_xyce_relaxed15.sub,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh15.cir,xyce_pybis/tb_tailfix_spisim_pulse200p_tanh15.cir.csv
tanh15,existing all-control tanh15,spisim_rfr200p,False,22.47,45.02,77.43747455600885,136.87339668534437,driver_OutputInput_Typical_xyce_relaxed15.sub,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh15.cir,xyce_pybis/tb_tailfix_spisim_rfr200p_tanh15.cir.csv
tanh15,existing all-control tanh15,channel_pulsetrain_200p,True,40.0,5.88,56.16628144573856,147.03016219114252,driver_OutputInput_Typical_xyce_relaxed15.sub,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh15.cir,xyce_pybis/tb_tailfix_channel_pulsetrain_200p_tanh15.cir.csv
tanh15,existing all-control tanh15,channel_bitpattern_200p,True,45.0,6.26,64.85174488176378,111.20663950552267,driver_OutputInput_Typical_xyce_relaxed15.sub,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh15.cir,xyce_pybis/tb_tailfix_channel_bitpattern_200p_tanh15.cir.csv
tanh15,existing all-control tanh15,channel_prbs7_1000n,True,1000.0,4.9,75.08355737849652,114.98692181869683,driver_OutputInput_Typical_xyce_relaxed15.sub,xyce_pybis/tb_tailfix_channel_prbs7_1000n_tanh15.cir,xyce_pybis/tb_tailfix_channel_prbs7_1000n_tanh15.cir.csv
