case,ngspice_t_end_ns,xyce_t_end_ns,ngspice_pad_max,xyce_pad_max,pad_max_delta,pad_rmse_v
Single delayed rise,20.0,20.0,1.5389729668785161,1.49431646,-0.04465650687851608,0.039590302566813014
Fast rise/fall,20.0,20.0,1.5556646500297802,1.55707772,0.001413069970219949,0.011972363325604488
Slow delayed rise/fall (stored ngspice raw stops early),2.625000000588171,20.0,0.0050009674631278445,1.55739521,1.552394242536872,0.035112030539423876
