case,direction,edge_index,context,input_crossing_ns,output_50_delay_ps,slew_20_80_ps
ui1_len10cm_loss1,rise,81,00->10,177.10044855369344,nan,nan
ui1_len10cm_loss1,fall,82,01->01,178.1004173890592,nan,nan
ui1_len10cm_loss1,rise,83,10->10,179.1004480081384,4244.655706423111,nan
ui1_len10cm_loss1,fall,84,01->01,180.1004192202051,3886.9621078390815,nan
ui1_len10cm_loss1,rise,85,10->11,181.10044674592086,2244.656968640648,nan
ui1_len10cm_loss1,fall,86,11->00,183.10042478339133,886.9565446528516,nan
ui1_len10cm_loss1,rise,87,00->10,188.10044792195663,4240.840630384253,1257.3946569443767
ui1_len10cm_loss1,fall,88,01->01,189.10041741886275,nan,nan
ui1_len10cm_loss1,rise,89,10->11,190.1004477274007,2240.8408249401596,1257.3946569443767
ui1_len10cm_loss1,fall,90,11->00,194.10042581146197,951.5089985996029,173.66715367128006
ui1_len10cm_loss1,rise,91,00->11,197.1004483795795,2258.1827149605438,nan
ui5_len30cm_loss1,fall,0,11->01,65.10042588642222,2366.9319075941603,201.91508540503517
ui5_len30cm_loss1,rise,1,10->11,70.10044778641051,3669.7957919038113,942.2826282273699
ui5_len30cm_loss1,fall,2,11->00,95.1004258862921,2366.9304995305024,201.91398865781505
ui5_len30cm_loss1,rise,3,00->11,105.1004477956189,3673.1165688505653,950.5528032358606
ui5_len30cm_loss1,fall,4,11->01,125.10042588640844,2366.9310066845705,201.91160052821343
ui5_len30cm_loss1,rise,5,10->10,130.1004477864999,3669.801438525843,942.2926298205692
ui5_len30cm_loss1,fall,6,01->01,135.10042580288393,2362.745050393756,202.21056299761224
ui5_len30cm_loss1,rise,7,10->11,140.10044779074084,3670.3123744829004,942.4450973413265
ui5_len30cm_loss1,fall,8,11->00,155.1004258830205,2366.9354144659924,201.89530682763362
ui5_len30cm_loss1,rise,9,00->11,175.10044736869244,3672.984936384207,949.6382419803747
ui5_len30cm_loss1,fall,10,11->01,185.10042588817893,2366.86651032724,202.08129975913016
ui5_len30cm_loss1,rise,11,10->11,190.1004477881448,3669.843776725181,942.3910752520994
ui5_len30cm_loss1,fall,12,11->01,205.10042588282874,2366.9374522358075,201.89382477172998
ui5_len30cm_loss1,rise,13,10->10,210.1004477859166,3669.853638824336,942.2848265853145
ui5_len30cm_loss1,fall,14,01->00,215.10042580285455,2362.7447163832276,202.20979830375842
ui5_len30cm_loss1,rise,15,00->11,225.1004479081116,3673.042422024613,950.7988341842266
ui5_len30cm_loss1,fall,16,11->00,235.1004258899128,2366.8737716626056,202.12258629255197
ui5_len30cm_loss1,rise,17,00->10,250.10044751657864,3672.891668857963,950.4275265617696
ui5_len30cm_loss1,fall,18,01->01,255.10042584533338,2362.609439542089,201.75252103401806
ui5_len30cm_loss1,rise,19,10->10,260.10044779270464,3670.1230487202783,942.2661910405734
ui5_len30cm_loss1,fall,20,01->01,265.1004258041161,2362.74990641207,202.1619197825085
ui5_len30cm_loss1,rise,21,10->11,270.10044779226683,3670.3067160759138,942.5057708172286
ui5_len30cm_loss1,fall,22,11->00,280.10042588744625,2366.8899577950833,202.17781174060244
ui5_len30cm_loss1,rise,23,00->10,305.1004474571429,3673.0075545984037,949.8344901473661
ui5_len30cm_loss1,fall,24,01->01,310.1004258430141,2362.595152281508,201.7138006938214
ui5_len30cm_loss1,rise,25,10->11,315.1004477929991,3670.1003241471453,942.2396027893851
ui5_len30cm_loss1,fall,26,11->00,335.1004258864401,2366.92911797789,201.90577280230528
ui5_len30cm_loss1,rise,27,00->11,350.10044744534196,3672.8919982984576,950.4278283796727
ui5_len30cm_loss1,fall,28,11->01,365.10042588543115,2366.9365467362522,201.89519420602707
ui5_len30cm_loss1,rise,29,10->11,370.10044778629634,3669.8054447263503,942.2847988404591
ui5_len30cm_loss1,fall,30,11->01,380.1004258895046,2366.8936775066545,202.1828268336889
ui5_len30cm_loss1,rise,31,10->11,385.10044779057694,3669.807871339425,942.5270518348317
ui5_len30cm_loss1,fall,32,11->00,395.1004258896153,2366.8930819380425,202.18188588908706
ui5_len30cm_loss1,rise,33,00->10,405.1004477792629,3673.146583246727,950.5006072803567
