order,trace,wmodel_name,baseline_length_mm,cumulative_length_mm,z0_ohm_ideal,delay_ns_for_trace,cumulative_ideal_delay_ns,rs_ignored,gd_ignored,r_ohm_per_mm,l_nh_per_mm,g_us_per_mm,c_pf_per_mm
1,trace01,Wmodel_Trace01::Sig,100.0,100.0,122.49413985278925,0.5353163504703516,0.5353163504703516,0.00126077349,0.0,0.00484853186,0.6557311589999999,0.0,0.0437013845
2,trace02,Wmodel_Trace02::Sig,100.0,200.0,122.49413985278925,0.5353163504703516,1.0706327009407033,0.00126077349,0.0,0.00484853186,0.6557311589999999,0.0,0.0437013845
3,trace03,Wmodel_Trace03::Sig,100.0,300.0,65.95415958479265,0.5476582436557713,1.6182909445964746,0.00171539844,0.0,0.00484853186,0.361203392,0.0,0.0830361947
