node,trace,min_v,max_v,first_rise_10pct_time_ns,first_rise_50pct_time_ns,first_rise_90pct_time_ns,first_rise_10_90_ns
driver_side,v(src_driver),-0.0009212040001158132,0.46394608432370943,11.017570677396753,15.910132010787361,27.267100069591518,16.249529392194766
after_trace01,v(after_trace01),-0.0008061707814758878,0.46745788863269455,11.552854556114449,17.18530859692735,24.808275906647477,13.255421350533029
after_trace02,v(after_trace02),-0.0004937825511575716,0.4730321840749307,12.218646924095571,17.102902972776118,26.32172183305131,14.103074908955739
far_end,v(pad_cascade),-0.0008188338610767519,0.478270933716416,12.596306478326705,17.32640659597005,27.106122541542057,14.509816063215352
