key,label,simulator,model,setup,waveform,format,signal,completed_1000ns,samples,t_start_ns,t_end_ns,v_min,v_max,level_low,level_high,level_mid,eye_height_mV,eye_width_ps,v_eye_high,v_eye_low,rise_time_ps,fall_time_ps,overshoot_mV,undershoot_mV,fold_mode,phase_ui,n_ui,skip_ui,eye_slices,rise_50_delay_ns,fall_50_delay_ns,rise_fall_50_split_ns,rise_fall_50_split_ui,rise_crossings,fall_crossings
ngspice_refspice,ngspice + io_buf.sp,ngspice,io_buf.sp transistor-level,"direct transistor model, PRBS7, new 50 ohm RLGC, Rterm=50",ngspice_refspice\tb_refspice_prbs7_new50ohm_batch.raw,ngspice,v(n10b),True,100973,0.0001,1000.0000000000001,-0.02100403347120776,1.5165650946688731,-0.011043600536507074,1.5144614507866747,0.7517089251250838,296.4027223891815,2617.5,0.83041946291186,0.5340167405226784,932.1248056482256,167.68550424292295,2.103643882198414,9.960432934700686,clock,0.0,2,10,188,2.3804793380166207,1.0553756098835658,1.3251037281330549,0.26502074562661093,46,46
xyce_refspice,Xyce + io_buf.sp,Xyce,io_buf.sp transistor-level,"direct transistor model, PRBS7, new 50 ohm RLGC, Rterm=50",xyce_refspice\tb_refspice_prbs7_new50ohm_xyce.cir.csv,xyce,v(n10b),True,22275,0.0,1000.0,-0.0248472085,1.5177167,-0.012462519904,1.515232644,0.7513850620479999,305.44670914196945,2622.5000000000005,0.8352708585565921,0.5298241494146226,928.0720738376189,168.07935758913388,2.4840560000001233,12.384688595999998,clock,0.0,2,10,189,2.3757813737191755,1.0532774902427573,1.3225038834764182,0.26450077669528366,46,46
ngspice_pybis,ngspice + pybis,ngspice,pybis2spice direct,"direct pybis, PRBS7, new 50 ohm RLGC, Rterm=50, no uic",results\prbs_rlgc_clean_2026-05-10\ngspice\tb_clean_prbs_rlgc_ngspice.raw,ngspice,v(n10b),True,100884,0.0,1000.0000000000001,-0.008225306461753902,1.5404863042381678,-0.005958066749494152,1.5358899890295203,0.764965961140013,1064.2167291940668,5000.0,1.5291804851812116,0.46496375598714484,1034.3710684416158,322.79961942879635,4.59631520864745,2.2672397122597503,clock,0.0,2,10,189,3.0388348169255788,1.6705472727966164,1.3682875441289624,0.2736575088257925,46,46
xyce_pybis,Xyce + pybis edge15_flat4p2,Xyce,pybis2spice Xyce continuation,"edge/latch tanh15 + KUR/KDR flat tail after 4.2 ns, BE/non-LTE timestep controls",results\prbs_rlgc_clean_2026-05-10\xyce\tb_clean_prbs_rlgc_xyce_edge15_flat4p2.cir.csv,xyce,v(n10b),True,100001,0.0,1000.0,-0.00697247978,1.54112716,-0.00537836558,1.53089591,0.7627587722099999,998.198244499747,1370.0000000000002,1.4797354299999999,0.48153718550025276,1033.6868024109012,351.688966329354,10.231250000000136,1.5941142,clock,0.0,2,10,189,3.0460432126255017,1.66081854262677,1.3852246699987318,0.27704493399974633,46,46
