figure,threshold_v,model_rise_50_ns,reference_rise_50_ns,model_minus_reference_rise_50_ps,model_fall_50_ns,reference_fall_50_ns,model_minus_reference_fall_50_ps,rmse_mv,maxabs_mv,path
01_ngspice_old_slow_io_buf_pybis_vs_refspice,0.7685000036509999,3.2586179061352007,2.677857491428019,580.7604147071817,9.86503045426001,9.22606347017239,638.9669840876202,350.5548649325519,1460.195415360903,results/io_buf_old_new_four_overlays_2026-06-05/01_ngspice_old_slow_io_buf_pybis_vs_refspice.png
02_hspice_old_slow_io_buf_ibis_vs_spice,0.7685000036509999,3.2435320443702382,2.523295579868722,720.2364645015164,9.860630925135935,9.21541930585117,645.2116192847628,389.0603495772501,1484.135650768307,results/io_buf_old_new_four_overlays_2026-06-05/02_hspice_old_slow_io_buf_ibis_vs_spice.png
03_ngspice_new_fast_io_buf_pybis_vs_refspice,0.770000003651,2.760960693124037,2.6795684891163116,81.39220400772537,9.231525004692251,9.225775256475028,5.749748217222944,32.15270165770679,520.4016745392877,results/io_buf_old_new_four_overlays_2026-06-05/03_ngspice_new_fast_io_buf_pybis_vs_refspice.png
04_hspice_new_fast_io_buf_ibis_vs_spice,0.770000003651,2.7448294993324573,2.524574261405981,220.2552379264763,9.228714983480053,9.215158602511702,13.556380968351089,93.4632708729644,327.218958487732,results/io_buf_old_new_four_overlays_2026-06-05/04_hspice_new_fast_io_buf_ibis_vs_spice.png
