simulator,comparison,reference,test,points,t_end_ns,rmse_mV,max_abs_error_mV,mean_error_mV
ngspice,ngspice + pybis minus ngspice + io_buf.sp,ngspice_refspice,ngspice_pybis,20001,1000.0000000000001,261.6870270745902,1419.866572750589,3.5361431679519533
Xyce,Xyce + pybis edge15_flat4p2 minus Xyce + io_buf.sp,xyce_refspice,xyce_pybis,20001,1000.0,258.54051361549233,1414.2320122650826,-9.927129897635222
