return_code,raw,log,points,stop_ns,v(p1)_min_v,v(p1)_max_v,v(p1)_finite,v(p3)_min_v,v(p3)_max_v,v(p3)_finite,tx_low_v,tx_active_v,tx_threshold_v,rx_low_v,rx_active_v,rx_threshold_v,tx_rise50_ns,rx_rise50_ns,tx_fall50_ns,rx_fall50_ns,rx_minus_tx_rise50_ps,rx_minus_tx_fall50_ps,finite_reasonable,last_trouble,case,rsrc_ohm,edge_ps,amplitude_v,model
0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge5_r50.raw,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge5_r50.log,3534,35.0,0.0,0.75,True,0.0,0.6688558885643181,True,0.0,0.75,0.375,0.0,0.6666372905383933,0.33331864526919663,1.0025000000000002,15.096624996163996,9.002500000000001,23.098906468072958,14094.124996163995,14096.406468072957,True,,audit_amp1p5_edge5_r50,50.0,5.0,1.5,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/models/s_equivalent_delay_parallel.sp
0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge50_r50.raw,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge50_r50.log,3522,35.0,0.0,0.75,True,0.0,0.668837960560749,True,0.0,0.75,0.375,0.0,0.666597861500658,0.333298930750329,1.025,15.120070512157834,9.025000000000002,23.122125820097285,14095.070512157836,14097.125820097282,True,,audit_amp1p5_edge50_r50,50.0,50.0,1.5,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/models/s_equivalent_delay_parallel.sp
0,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge500_r50.raw,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/ngspice_corrected/audit_amp1p5_edge500_r50.log,3520,35.0,-2.645989702941573e-17,0.75,True,0.0,0.6686586376736564,True,0.0,0.75,0.375,0.0,0.6661603416815918,0.3330801708407959,1.2499999999999996,15.395674011837407,9.250000000000002,23.398477310633698,14145.674011837407,14148.477310633696,True,,audit_amp1p5_edge500_r50,50.0,500.0,1.5,results/sparam_cisco_delay_parallel_2026-06-08/Ch10_35_5F3N_t/models/s_equivalent_delay_parallel.sp
