case_id,description,pattern,pulse_width_ns,legacy_pad_active_rmse_v,legacy_ku_active_rmse,legacy_kd_active_rmse,legacy_ku_peak,legacy_kd_min,legacy_kd_recovery_delta_ns,legacy_overlap_energy_ns,legacy_coeff_range_ok,legacy_status,short_hybrid_pad_active_rmse_v,short_hybrid_ku_active_rmse,short_hybrid_kd_active_rmse,short_hybrid_ku_peak,short_hybrid_kd_min,short_hybrid_kd_recovery_delta_ns,short_hybrid_overlap_energy_ns,short_hybrid_coeff_range_ok,short_hybrid_status,gate_hybrid_pad_active_rmse_v,gate_hybrid_ku_active_rmse,gate_hybrid_kd_active_rmse,gate_hybrid_ku_peak,gate_hybrid_kd_min,gate_hybrid_kd_recovery_delta_ns,gate_hybrid_overlap_energy_ns,gate_hybrid_coeff_range_ok,gate_hybrid_status,dir_hybrid_pad_active_rmse_v,dir_hybrid_ku_active_rmse,dir_hybrid_kd_active_rmse,dir_hybrid_ku_peak,dir_hybrid_kd_min,dir_hybrid_kd_recovery_delta_ns,dir_hybrid_overlap_energy_ns,dir_hybrid_coeff_range_ok,dir_hybrid_status,dir_full_pad_active_rmse_v,dir_full_ku_active_rmse,dir_full_kd_active_rmse,dir_full_ku_peak,dir_full_kd_min,dir_full_kd_recovery_delta_ns,dir_full_overlap_energy_ns,dir_full_coeff_range_ok,dir_full_status
edge_1ps_base_50r_2pf,"Baseline 1 ps rise/fall, 50 ohm + 2 pF",rise_fall,,0.005289179270369432,0.0043424415275439545,0.005607643494728418,1.011993411977149,-0.07176545831892066,,0.08805064370584732,True,GOOD,0.00596063853635433,0.0046202973658805045,0.006920559707790945,1.0107700986407837,-0.07176309963310286,,0.08834100343973536,True,GOOD,0.00919367677954168,0.006838470045130951,0.010224374957060044,1.0100286494456414,-0.07185893493012933,,0.08819447766148272,True,WARN,0.009251276118568498,0.006895611330388315,0.010382100174294334,1.0100301672712173,-0.07185859803252789,,0.0882179476359385,True,WARN,0.06678833151288836,0.03579113488019705,0.04540294024736873,1.020884467747819,-0.07860269013474006,,0.1006423012650429,True,CHECK
short_pulse_500ps_high,"500 ps high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,0.5,0.6788631624717939,0.5024469167360023,0.5784688091362512,1.0125315794000251,-0.07171960195953175,2.9286780000000006,0.011619972980936467,True,CHECK,0.04757486682210295,0.07830824957260368,0.4925749162140876,0.20249162670194187,0.12327792804274404,0.0,0.11944765045939915,True,CHECK,0.011746015171110943,0.013814568733178604,0.6266791489941532,0.019496800226019385,0.0035526988734245145,0.0,0.0032099962743981935,True,CHECK,0.3750594532033554,0.39230345597346156,0.6271373977272441,0.015092377211441414,-0.005230043490593324,0.0,0.0009776857708950724,False,CHECK,0.37429762433417946,0.38813284343900495,0.6304978351045457,0.001940593158990301,-0.015909035551721,0.0,0.0018312887052397086,False,CHECK
short_pulse_1ns_high,"1 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,1.0,0.6532560845126897,0.4704147907901465,0.5038066834239642,1.012537321335477,-0.07176545831889017,2.9119069999999994,0.011341953063584136,True,CHECK,0.0878895046571619,0.12790855525562134,0.3699256409638254,0.36063915927990403,0.016774422217996493,0.0,0.1870632293483058,True,CHECK,0.02964772894699204,0.03120758961837705,0.48874376539884706,0.058609542308875454,0.0024890858084829887,0.0,0.006736463446375169,True,CHECK,0.2893457747764392,0.22878195171607155,0.5025768243968471,0.04398665105691466,-0.04484802188726717,0.0,0.01159996828381132,False,CHECK,0.279978264583126,0.217761305716833,0.5063393338679011,0.046484643234490385,-0.05802660104675219,0.0,0.019811691311613266,False,CHECK
short_pulse_2ns_high,"2 ns high pulse with 1 ps edges, 50 ohm + 2 pF",short_high,2.0,0.3613616426183236,0.2833019281281989,0.23141813087362825,1.012537321335477,-0.07240746584312961,0.35017600000000115,0.04630958986444791,True,CHECK,0.116976240180345,0.08738695387805437,0.16077705306338091,0.5906026543886469,0.0013430374824426926,2.2328940000000017,0.05278624233561953,True,CHECK,0.062112885587674485,0.05488370019936523,0.22606230508361305,0.566020994226117,0.0010975044256644943,0.38351000000000113,0.04171820694336914,True,CHECK,0.11557129125848793,0.08280261612066858,0.2546001065696395,0.5249134439153917,-0.05149354125829288,0.6168440000000004,0.05254477169124565,True,CHECK,0.11142795470320795,0.07924970090522704,0.2624513666973523,0.5396157670123288,-0.07315501031555346,0.6501740000000016,0.05922465502696592,True,CHECK
short_pulse_500ps_low,"500 ps low pulse after settled high, 50 ohm + 2 pF",short_low,0.5,0.6808194597727125,0.523050511748162,0.7421039561689352,1.0101618928878084,-0.0284836458097058,1.9364980000000003,0.04575320609447328,True,CHECK,0.6806451232289322,0.49824112486438343,0.7197643272836045,1.0102806801046682,-0.02848419232478244,1.9364980000000003,0.04627220909161329,True,CHECK,0.6781674069561322,0.48613640408009157,0.7088893732147817,1.0094959357565232,-0.028092538971043093,0.0,0.04818516835215517,True,CHECK,0.677863782223069,0.4860930737670296,0.7088547493511288,1.009496071456343,-0.028090461289347862,0.0,0.048193448857365886,True,CHECK,0.29057036803953695,0.3669871067643397,0.27507679208677166,1.0208844677511337,-0.9614528892548907,0.0,0.0022247758057031075,False,CHECK
short_pulse_1ns_low,"1 ns low pulse after settled high, 50 ohm + 2 pF",short_low,1.0,0.508684032438304,0.4054065451694065,0.6549988875132998,1.0101618928878084,-0.07176545831889039,1.9430479999999992,0.04550009022016115,True,CHECK,0.5078892518501963,0.40484107928847574,0.6308069983664457,1.0102806801046682,-0.07176279708003912,1.9430479999999992,0.04608897134202313,True,CHECK,0.5090351537932986,0.40549361014931845,0.617714032649645,1.0094959357565232,-0.07186300825229108,0.0,0.046173794171019064,True,CHECK,0.509143775603883,0.4055323440169869,0.6177653872182497,1.009496071456343,-0.07186274916020413,0.0,0.04617011768613537,True,CHECK,0.40374439339649104,0.3678526621482813,0.06000123795892193,1.0208844677511337,-0.23517829109315821,0.0,0.0,False,CHECK
short_pulse_2ns_low,"2 ns low pulse after settled high, 50 ohm + 2 pF",short_low,2.0,0.018888382643368846,0.020990479212269788,0.3616978395600471,1.0101618928878084,-0.07176545831889039,1.9224500000000013,0.046061992812669976,True,CHECK,0.01896517775576315,0.02102174185875706,0.3348274106495849,1.0102806801046682,-0.07176279708003912,1.9224500000000013,0.04604243375459369,True,CHECK,0.020468714813805224,0.021630622966337536,0.32114258138815344,1.0094959357565232,-0.07186300825229108,0.0,0.04605704044607795,True,CHECK,0.020416859087573375,0.02163019664090129,0.32114130762904974,1.009496071456343,-0.07186274916020413,0.0,0.046062089760091074,True,CHECK,0.08777577212309699,0.055333955847826494,0.048339845721128,1.0208844677511337,-0.07860269014670214,0.0,0.09445634829520079,True,CHECK
