channel_id,channel_name,relative_path,dominant_path,dominant_delay_ns,dominant_peak_mag_db,stop_ns,initial_delay_ns,out_dir,hspice_rc,fit_ngspice_rc,initial_comparison_rows,initial_comparison_pass_count,initial_max_rx_active_rmse_v,initial_mean_rx_active_rmse_v,initial_max_rx_active_maxabs_v,initial_mean_rx_active_maxabs_v,initial_max_rx_rise50_delta_ps,initial_mean_rx_rise50_delta_ps,initial_max_rx_fall50_delta_ps,initial_mean_rx_fall50_delta_ps,initial_max_tx_active_rmse_v,initial_mean_tx_active_rmse_v,initial_comparison_all_pass,trim_rc,accepted_trim_ps,accepted_delay_ns,accepted_cases,accepted_max_rx_active_rmse_v,accepted_mean_rx_active_rmse_v,accepted_max_rx_active_maxabs_v,accepted_mean_rx_active_maxabs_v,accepted_max_rx_rise50_delta_ps,accepted_mean_rx_rise50_delta_ps,accepted_max_rx_fall50_delta_ps,accepted_mean_rx_fall50_delta_ps,accepted_max_tx_active_rmse_v,accepted_mean_tx_active_rmse_v,accepted_pass_count,accepted_all_pass,accepted_comparison_rows,accepted_comparison_pass_count,accepted_comparison_all_pass,accepted_label,status,tail_branches
Ch3_17_5F3N_t_b5beac5f,Ch3_17_5F3N_t,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch3_17_5F3N_t.s4p,S31,4.454522193327656,-0.4315367900000006,35.0,4.454522193327656,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch3_17_5F3N_t,0,0,3,3,0.006522128023725251,0.0063221163181999196,0.026567200941537826,0.023585017614556548,5.169840562782468,4.100268010835369,9.82470165914151,6.9514570021903905,0.038398438747692575,0.03764924080351729,True,0,0.0,4.40858771089,3,0.006522874740747143,0.006329287957251088,0.026550691647070343,0.023661931271724,5.1181572116707486,4.215889899572704,9.826780526369205,7.127229080477804,0.038398438747692575,0.03764924080351729,3,True,3,3,True,trim_p0ps,pass,1
Ch1_10_5F3N_t_9f42119e,Ch1_10_5F3N_t,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch1_10_5F3N_t.s4p,S31,2.435929585917641,-0.21383205000000058,35.0,2.435929585917641,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch1_10_5F3N_t,0,0,3,3,0.012834553149512094,0.01249538575098541,0.06258807621016677,0.04109077126235396,5.769751056342365,1.8799264224251822,9.261831577504154,7.077617990737177,0.039087743339855735,0.03793896617133281,True,0,-5.0,2.3934580268000003,3,0.012810010014528087,0.012462998674209117,0.045376624350886074,0.03728642031809893,5.538057573178712,-2.9533406543856464,4.336386598041031,2.2222226845460824,0.039087743339855735,0.03793896617133281,3,True,3,3,True,trim_m5ps,pass,1
Ch5_22_5F3N_t_cd60ff78,Ch5_22_5F3N_t,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch5_22_5F3N_t.s4p,S31,5.940826298592869,-0.5885916900000003,35.0,5.940826298592869,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch5_22_5F3N_t,0,0,3,3,0.008379070961363092,0.007987645925278059,0.03259351928851484,0.02229554733158384,19.095039954544646,9.774141436393732,24.415788922150128,10.106528049609173,0.023875465560236814,0.023302784101564018,True,0,-5.0,5.89416561922,3,0.008019038633151352,0.007846557151370231,0.027190742206745416,0.019939096948469733,14.101444858485301,4.747328745517088,19.42208826906544,5.161180775938708,0.023875465560236814,0.023302784101564018,3,True,3,3,True,trim_m5ps,pass,1
Ch7_28_5F3N_t_14e90129,Ch7_28_5F3N_t,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch7_28_5F3N_t.s4p,S31,7.4313348892000235,-0.7412899100000003,35.0,7.4313348892000235,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch7_28_5F3N_t,0,0,3,3,0.012612407826574424,0.01237152474789735,0.04017646312696049,0.027357711523185353,17.12259585923981,9.728066623110246,18.89122668922738,6.435819430690752,0.023912561510609748,0.023786844983035692,True,0,-5.0,7.39257517685,3,0.012529987610080876,0.012418925106427267,0.027950180437444266,0.023187751486089286,11.951566771312372,4.7377742402587115,13.898050155557229,1.5925622100058472,0.023912561510609748,0.023786844983035692,3,True,3,3,True,trim_m5ps,pass,1
Ch1_10_8F_t_73ade4ae,Ch1_10_8F_t,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch1_10_8F_t.s4p,S31,2.435929585917641,-0.21383205000000058,35.0,2.435929585917641,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch1_10_8F_t,0,0,3,3,0.012834553149512094,0.01249538575098541,0.06258807621016677,0.04109077126235396,5.769751056342365,1.8799264224251822,9.261831577504154,7.077617990737177,0.039087743339855735,0.03793896617133281,True,0,-5.0,2.3934580268000003,3,0.012810010014528087,0.012462998674209117,0.045376624350886074,0.03728642031809893,5.538057573178712,-2.9533406543856464,4.336386598041031,2.2222226845460824,0.039087743339855735,0.03793896617133281,3,True,3,3,True,trim_m5ps,pass,1
Ch3_17_8F_t_1063b4ed,Ch3_17_8F_t,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch3_17_8F_t.s4p,S31,4.454522193327656,-0.4315367900000006,35.0,4.454522193327656,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch3_17_8F_t,0,0,3,3,0.006522128023725251,0.0063221163181999196,0.026567200941537826,0.023585017614556548,5.169840562782468,4.100268010835369,9.82470165914151,6.9514570021903905,0.038398438747692575,0.03764924080351729,True,0,0.0,4.40858771089,3,0.006522874740747143,0.006329287957251088,0.026550691647070343,0.023661931271724,5.1181572116707486,4.215889899572704,9.826780526369205,7.127229080477804,0.038398438747692575,0.03764924080351729,3,True,3,3,True,trim_p0ps,pass,1
Ch5_22_8F_t_afe82982,Ch5_22_8F_t,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch5_22_8F_t.s4p,S31,5.940826298592869,-0.5885916900000003,35.0,5.940826298592869,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch5_22_8F_t,0,0,3,3,0.008379070961363092,0.007987645925278059,0.03259351928851484,0.02229554733158384,19.095039954544646,9.774141436393732,24.415788922150128,10.106528049609173,0.023875465560236814,0.023302784101564018,True,0,-5.0,5.89416561922,3,0.008019038633151352,0.007846557151370231,0.027190742206745416,0.019939096948469733,14.101444858485301,4.747328745517088,19.42208826906544,5.161180775938708,0.023875465560236814,0.023302784101564018,3,True,3,3,True,trim_m5ps,pass,1
Ch7_28_8F_t_b6a7aed0,Ch7_28_8F_t,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch7_28_8F_t.s4p,S31,7.4313348892000235,-0.7412899100000003,35.0,7.4313348892000235,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch7_28_8F_t,0,0,3,3,0.012612407826574424,0.01237152474789735,0.04017646312696049,0.027357711523185353,17.12259585923981,9.728066623110246,18.89122668922738,6.435819430690752,0.023912561510609748,0.023786844983035692,True,0,-5.0,7.39257517685,3,0.012529987610080876,0.012418925106427267,0.027950180437444266,0.023187751486089286,11.951566771312372,4.7377742402587115,13.898050155557229,1.5925622100058472,0.023912561510609748,0.023786844983035692,3,True,3,3,True,trim_m5ps,pass,1
Ch4_20_5F3N_t_78b3548c,Ch4_20_5F3N_t,hspice/sparam/Cisco_Backplane_channel_data/5F3N/Ch4_20_5F3N_t.s4p,S31,8.993794092151655,-0.3473958100000012,35.0,8.993794092151655,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch4_20_5F3N_t,0,0,3,3,0.00944832921895481,0.008021677401990491,0.04243523768664881,0.03506794373309204,18.597671757742518,6.582374910065525,13.88091941038283,9.906879590825923,0.02465434135275521,0.022212908125505356,True,0,0.0,8.93810771658,3,0.009481138097767365,0.008050175798208664,0.04243523891801715,0.035139016032441704,18.603786226812247,6.70207977472496,13.809149082245398,9.910764353797674,0.02465434135275521,0.02221290812550535,3,True,3,3,True,trim_p0ps,pass,1
Ch4_20_8F_t_afb27bdd,Ch4_20_8F_t,hspice/sparam/Cisco_Backplane_channel_data/8F/Ch4_20_8F_t.s4p,S31,8.993794092151655,-0.3473958100000012,35.0,8.993794092151655,C:\Users\sh3qm\code\ibis_comparison\results\sparam_cisco_delay_parallel_batch_2026-06-08\Ch4_20_8F_t,0,0,3,3,0.00944832921895481,0.008021677401990491,0.04243523768664881,0.03506794373309204,18.597671757742518,6.582374910065525,13.88091941038283,9.906879590825923,0.02465434135275521,0.022212908125505356,True,0,0.0,8.93810771658,3,0.009481138097767365,0.008050175798208664,0.04243523891801715,0.035139016032441704,18.603786226812247,6.70207977472496,13.809149082245398,9.910764353797674,0.02465434135275521,0.02221290812550535,3,True,3,3,True,trim_p0ps,pass,1
