case,edge,window_ns,pybis_vs_ibis_rmse_mv,refspice_vs_ibis_rmse_mv,pybis_vs_refspice_rmse_mv,ibis_r_fixture,ibis_v_fixture
io_buf,rising,3.0,4.951148542406474,358.2354427678853,362.11443307155656,50.0,0.0
io_buf,falling,3.0,7.4280036460081345,597.5063071812198,601.3409067187284,50.0,0.0
inv_chain,rising,1.7,44.07933389311496,24.10316628873742,51.816548843961925,50.0,0.0
inv_chain,falling,1.7,37.96013333722741,24.09051037402067,20.2203138341432,50.0,0.0
