case,edge,threshold_pct,threshold_v,ibis_after_input_ps,pybis_after_input_ps,refspice_after_input_ps,pybis_minus_ibis_ps,refspice_minus_ibis_ps,pybis_minus_refspice_ps,ibis_r_fixture,ibis_v_fixture
io_buf,rising,0.25,0.3842500054765,2018.2278512215119,2024.8688874636377,1407.3624190528221,6.641036242125864,-610.8654321686897,617.5064684108156,50.0,0.0
io_buf,rising,0.5,0.768500003651,2248.3000036509998,2256.496694013989,1675.376822428786,8.196690362988868,-572.923181222214,581.1198715852029,50.0,0.0
io_buf,rising,0.75,1.1527500018255,2806.300003651,2816.1404862544487,2225.8919346709345,9.840482603448386,-580.4080689800659,590.2485515835143,50.0,0.0
io_buf,falling,0.25,1.1587499697428572,733.4211642182642,739.2267255740333,0.7355804976256763,5.80556135576904,-732.6855837206385,738.4911450764075,50.0,0.0
io_buf,falling,0.5,0.7724999394857143,854.5142802103728,860.9439705685595,217.05522770177765,6.429690358186746,-637.4590525085952,643.8887428667819,50.0,0.0
io_buf,falling,0.75,0.3862499092285714,973.4583243094281,980.5847710540974,309.00893947215377,7.126446744669224,-664.4493848372744,671.5758315819436,50.0,0.0
inv_chain,rising,0.25,0.35555750981057,284.0242498092426,293.29326052638424,282.1463925205907,9.2690107171417,-1.877857288651863,11.146868005793564,50.0,0.0
inv_chain,rising,0.5,0.7111150065403801,292.39917952029026,300.55193849204187,290.713241696007,8.152758971751606,-1.685937824283279,9.838696796034885,50.0,0.0
inv_chain,rising,0.75,1.06667250327019,301.5235269814128,310.4083534820905,300.9461404497262,8.884826500677734,-0.5773865316865412,9.462213032364275,50.0,0.0
inv_chain,falling,0.25,1.0666725032490776,278.2518921552514,284.94756647804473,281.6429556400264,6.695674322793332,3.39106348477497,3.3046108380183625,50.0,0.0
inv_chain,falling,0.5,0.7111150064981551,286.16398215224166,293.2264660702897,290.12551815912246,7.062483918048034,3.961536006880817,3.100947911167218,50.0,0.0
inv_chain,falling,0.75,0.35555750974723255,293.2986679401716,300.52060711368256,297.8162944149432,7.221939173510994,4.517626474771608,2.704312698739386,50.0,0.0
